Train...
Iter 0, train_loss: 17885.692814769, val_loss: 20301.16290522207 
Iter 1, train_loss: 17191.731330195424, val_loss: 19512.56233017772 
Iter 2, train_loss: 16524.887665682672, val_loss: 18754.7934660016 
Iter 3, train_loss: 15884.093952981586, val_loss: 18026.64247064646 
Iter 4, train_loss: 15268.324722447143, val_loss: 17326.943646792522 
Iter 5, train_loss: 14676.595205013513, val_loss: 16654.577517320777 
Iter 6, train_loss: 14107.959702785827, val_loss: 16008.468978342116 
Iter 7, train_loss: 13561.510025450843, val_loss: 15387.585526631023 
Iter 8, train_loss: 13036.373989823109, val_loss: 14790.93555844142 
Iter 9, train_loss: 12531.71397995394, val_loss: 14217.566736806311 
Iter 10, train_loss: 12046.725565336617, val_loss: 13666.564424541375 
Iter 11, train_loss: 11580.636174841718, val_loss: 13137.050180286564 
Iter 12, train_loss: 11132.703824114773, val_loss: 12628.180315028705 
Iter 13, train_loss: 10702.215894261022, val_loss: 12139.144506652838 
Iter 14, train_loss: 10288.487959731214, val_loss: 11669.16447017011 
Iter 15, train_loss: 9890.86266340849, val_loss: 11217.49268136642 
Iter 16, train_loss: 9508.708636978166, val_loss: 10783.411151707931 
Iter 17, train_loss: 9141.41946474085, val_loss: 10366.230252428073 
Iter 18, train_loss: 8788.412689104864, val_loss: 9965.287585805487 
Iter 19, train_loss: 8449.128856066314, val_loss: 9579.946901723306 
Iter 20, train_loss: 8123.030599054129, val_loss: 9209.597057678464 
Iter 21, train_loss: 7809.601759584242, val_loss: 8853.65102048405 
Iter 22, train_loss: 7508.346543230452, val_loss: 8511.544907979704 
Iter 23, train_loss: 7218.788709480684, val_loss: 8182.73706913333 
Iter 24, train_loss: 6940.470794105995, val_loss: 7866.707200983706 
Iter 25, train_loss: 6672.953362725615, val_loss: 7562.95550093636 
Iter 26, train_loss: 6415.814294305258, val_loss: 7271.001852985803 
Iter 27, train_loss: 6168.648093377481, val_loss: 6990.385046495315 
Iter 28, train_loss: 5931.065229822319, val_loss: 6720.662026221049 
Iter 29, train_loss: 5702.6915050938605, val_loss: 6461.407172320756 
Iter 30, train_loss: 5483.1674438238815, val_loss: 6212.211609138525 
Iter 31, train_loss: 5272.147709777335, val_loss: 5972.682541606143 
Iter 32, train_loss: 5069.300545176101, val_loss: 5742.442618148746 
Iter 33, train_loss: 4874.307232447766, val_loss: 5521.129319027607 
Iter 34, train_loss: 4686.861577494347, val_loss: 5308.394369096206 
Iter 35, train_loss: 4506.669413612908, val_loss: 5103.903173987328 
Iter 36, train_loss: 4333.448125235394, val_loss: 4907.334278788756 
Iter 37, train_loss: 4166.92619068863, val_loss: 4718.378848303354 
Iter 38, train_loss: 4006.8427432082904, val_loss: 4536.740168025937 
Iter 39, train_loss: 3852.947149471499, val_loss: 4362.133165004607 
Iter 40, train_loss: 3704.9986049427885, val_loss: 4194.283947787812 
Iter 41, train_loss: 3562.7657453567504, val_loss: 4032.9293646908627 
Iter 42, train_loss: 3426.0262736880973, val_loss: 3877.8165796464996 
Iter 43, train_loss: 3294.566601986429, val_loss: 3728.702664934086 
Iter 44, train_loss: 3168.1815074780225, val_loss: 3585.3542101103085 
Iter 45, train_loss: 3046.6738023613993, val_loss: 3447.546946491814 
Iter 46, train_loss: 2929.8540167465517, val_loss: 3315.0653865664012 
Iter 47, train_loss: 2817.540094210085, val_loss: 3187.702477734561 
Iter 48, train_loss: 2709.5570994598584, val_loss: 3065.25926980741 
Iter 49, train_loss: 2605.736937623247, val_loss: 2947.5445957101174 
Iter 50, train_loss: 2505.9180846928266, val_loss: 2834.3747648622825 
Iter 51, train_loss: 2409.945328682138, val_loss: 2725.573268727963 
Iter 52, train_loss: 2317.6695210622574, val_loss: 2620.970498048576 
Iter 53, train_loss: 2228.9473380673294, val_loss: 2520.4034712914804 
Iter 54, train_loss: 2143.6410514738022, val_loss: 2423.715573865921 
Iter 55, train_loss: 2061.6183084740983, val_loss: 2330.7563076760516 
Iter 56, train_loss: 1982.751920280784, val_loss: 2241.3810505981023 
Iter 57, train_loss: 1906.9196591120042, val_loss: 2155.450825485394 
Iter 58, train_loss: 1834.0040632229634, val_loss: 2072.8320783208196 
Iter 59, train_loss: 1763.8922496619316, val_loss: 1993.3964651517758 
Iter 60, train_loss: 1696.4757344419938, val_loss: 1917.0206474571553 
Iter 61, train_loss: 1631.6502598324257, val_loss: 1843.5860956101503 
Iter 62, train_loss: 1569.3156284853533, val_loss: 1772.9789001140882 
Iter 63, train_loss: 1509.375544124909, val_loss: 1705.08959030154 
Iter 64, train_loss: 1451.7374585370135, val_loss: 1639.8129601993385 
Iter 65, train_loss: 1396.312424608514, val_loss: 1577.0479012741284 
Iter 66, train_loss: 1343.0149551744573, val_loss: 1516.6972417844956 
Iter 67, train_loss: 1291.7628874420445, val_loss: 1458.6675924767235 
Iter 68, train_loss: 1242.4772527690652, val_loss: 1402.8691983717972 
Iter 69, train_loss: 1195.08215158356, val_loss: 1349.2157964013593 
Iter 70, train_loss: 1149.504633240053, val_loss: 1297.624478660055 
Iter 71, train_loss: 1105.6745806158638, val_loss: 1248.015561051048 
Iter 72, train_loss: 1063.524599258944, val_loss: 1200.3124571103654 
Iter 73, train_loss: 1022.9899109062279, val_loss: 1154.441556804398 
Iter 74, train_loss: 984.0082511987417, val_loss: 1110.3321101030372 
Iter 75, train_loss: 946.5197714267063, val_loss: 1067.9161151389026 
Iter 76, train_loss: 910.4669441445424, val_loss: 1027.1282107706454 
Iter 77, train_loss: 875.794472502082, val_loss: 987.9055733756209 
Iter 78, train_loss: 842.4492031444843, val_loss: 950.1878177042048 
Iter 79, train_loss: 810.3800425392338, val_loss: 913.9169016347211 
Iter 80, train_loss: 779.5378765942668, val_loss: 879.0370346743933 
Iter 81, train_loss: 749.875493436732, val_loss: 845.4945900579058 
Iter 82, train_loss: 721.3475092270893, val_loss: 813.2380203010744 
Iter 83, train_loss: 693.9102968882702, val_loss: 782.2177760728343 
Iter 84, train_loss: 667.5219176344194, val_loss: 752.3862282541869 
Iter 85, train_loss: 642.1420551883839, val_loss: 723.6975930580113 
Iter 86, train_loss: 617.7319525814853, val_loss: 696.107860088657 
Iter 87, train_loss: 594.2543514334207, val_loss: 669.5747232250621 
Iter 88, train_loss: 571.6734336141733, val_loss: 644.0575142157882 
Iter 89, train_loss: 549.9547651937463, val_loss: 619.5171388787859 
Iter 90, train_loss: 529.0652425892819, val_loss: 595.9160158029998 
Iter 91, train_loss: 508.9730408227406, val_loss: 573.2180174529858 
Iter 92, train_loss: 489.6475638057713, val_loss: 551.3884135816874 
Iter 93, train_loss: 471.0593965717142, val_loss: 530.3938168602441 
Iter 94, train_loss: 453.1802593778832, val_loss: 510.2021306373709 
Iter 95, train_loss: 435.9829636043303, val_loss: 490.78249874429383 
Iter 96, train_loss: 419.441369378211, val_loss: 472.10525726459184 
Iter 97, train_loss: 403.53034485571635, val_loss: 454.14188819147137 
Iter 98, train_loss: 388.2257270962354, val_loss: 436.864974898105 
Iter 99, train_loss: 373.50428446597937, val_loss: 420.24815934959344 
Iter 100, train_loss: 359.3436805108496, val_loss: 404.26610098796584 
Iter 101, train_loss: 345.72243924066424, val_loss: 388.89443722434555 
Iter 102, train_loss: 332.6199117691978, val_loss: 374.1097454750117 
Iter 103, train_loss: 320.0162442566727, val_loss: 359.8895066806202 
Iter 104, train_loss: 307.89234710346517, val_loss: 346.2120702502318 
Iter 105, train_loss: 296.2298653458173, val_loss: 333.05662037411497 
Iter 106, train_loss: 285.0111502063027, val_loss: 320.4031436515226 
Iter 107, train_loss: 274.21923175366044, val_loss: 308.23239798174995 
Iter 108, train_loss: 263.83779262841506, val_loss: 296.52588266884777 
Iter 109, train_loss: 253.85114279241955, val_loss: 285.26580969231634 
Iter 110, train_loss: 244.24419526212583, val_loss: 274.43507609799866 
Iter 111, train_loss: 235.002442786969, val_loss: 264.01723746519804 
Iter 112, train_loss: 226.11193543578221, val_loss: 253.9964824077866 
Iter 113, train_loss: 217.55925905562847, val_loss: 244.3576080687411 
Iter 114, train_loss: 209.33151456883897, val_loss: 235.08599656913495 
Iter 115, train_loss: 201.41629807540508, val_loss: 226.16759237418012 
Iter 116, train_loss: 193.80168172916154, val_loss: 217.58888054035532 
Iter 117, train_loss: 186.47619535745284, val_loss: 209.33686580910395 
Iter 118, train_loss: 179.42880879516875, val_loss: 201.39905251393935 
Iter 119, train_loss: 172.64891490517746, val_loss: 193.76342526909445 
Iter 120, train_loss: 166.12631325830307, val_loss: 186.41843040912428 
Iter 121, train_loss: 159.85119444703463, val_loss: 179.3529581500632 
Iter 122, train_loss: 153.81412500818792, val_loss: 172.55632544390465 
Iter 123, train_loss: 148.0060329307104, val_loss: 166.0182594992858 
Iter 124, train_loss: 142.4181937257559, val_loss: 159.7288819423155 
Iter 125, train_loss: 137.0422170370605, val_loss: 153.67869359252668 
Iter 126, train_loss: 131.8700337705173, val_loss: 147.85855982990677 
Iter 127, train_loss: 126.893883722671, val_loss: 142.25969652990977 
Iter 128, train_loss: 122.10630368866067, val_loss: 136.87365654426637 
Iter 129, train_loss: 117.50011603089888, val_loss: 131.69231670627528 
Iter 130, train_loss: 113.0684176905089, val_loss: 126.70786534009912 
Iter 131, train_loss: 108.80456962425924, val_loss: 121.91279025439448 
Iter 132, train_loss: 104.70218665039884, val_loss: 117.29986720137828 
Iter 133, train_loss: 100.75512768745993, val_loss: 112.86214878317242 
Iter 134, train_loss: 96.9574863707136, val_loss: 108.59295378798542 
Iter 135, train_loss: 93.30358203156909, val_loss: 104.48585693937235 
Iter 136, train_loss: 89.78795102578097, val_loss: 100.5346790424723 
Iter 137, train_loss: 86.40533839688902, val_loss: 96.73347751175632 
Iter 138, train_loss: 83.15068986183906, val_loss: 93.07653726542115 
Iter 139, train_loss: 80.01914410625392, val_loss: 89.5583619721536 
Iter 140, train_loss: 77.00602537730839, val_loss: 86.17366563654232 
Iter 141, train_loss: 74.10683636263616, val_loss: 82.91736450995799 
Iter 142, train_loss: 71.3172513441521, val_loss: 79.78456931423607 
Iter 143, train_loss: 68.63310961610354, val_loss: 76.77057776599396 
Iter 144, train_loss: 66.05040915708788, val_loss: 73.87086738988793 
Iter 145, train_loss: 63.56530054617103, val_loss: 71.08108860957738 
Iter 146, train_loss: 61.174081113630564, val_loss: 68.39705810560105 
Iter 147, train_loss: 58.873189317215505, val_loss: 65.81475242979076 
Iter 148, train_loss: 56.65919933517143, val_loss: 63.330301866257166 
Iter 149, train_loss: 54.52881586762271, val_loss: 60.93998452937045 
Iter 150, train_loss: 52.47886913823184, val_loss: 58.640220689532995 
Iter 151, train_loss: 50.506310088367506, val_loss: 56.42756731789858 
Iter 152, train_loss: 48.60820575632463, val_loss: 54.298712841544166 
Iter 153, train_loss: 46.78173483442131, val_loss: 52.25047210092578 
Iter 154, train_loss: 45.024183397085125, val_loss: 50.27978150177264 
Iter 155, train_loss: 43.33294079330483, val_loss: 48.38369435387733 
Iter 156, train_loss: 41.70549569708389, val_loss: 46.559376389538926 
Iter 157, train_loss: 40.139432309781995, val_loss: 44.80410145469155 
Iter 158, train_loss: 38.63242670846512, val_loss: 43.1152473660299 
Iter 159, train_loss: 37.18224333461597, val_loss: 41.49029192769695 
Iter 160, train_loss: 35.78673161777811, val_loss: 39.92680910135731 
Iter 161, train_loss: 34.44382272891551, val_loss: 38.422465323714015 
Iter 162, train_loss: 33.15152645847311, val_loss: 36.97501596576186 
Iter 163, train_loss: 31.90792821432084, val_loss: 35.582301928290875 
Iter 164, train_loss: 30.711186134949322, val_loss: 34.24224636836784 
Iter 165, train_loss: 29.559528313465403, val_loss: 32.95285155173097 
Iter 166, train_loss: 28.451250128109894, val_loss: 31.712195826223287 
Iter 167, train_loss: 27.38471167518556, val_loss: 30.518430711590554 
Iter 168, train_loss: 26.358335300443983, val_loss: 29.369778101140863 
Iter 169, train_loss: 25.370603225129937, val_loss: 28.264527570944672 
Iter 170, train_loss: 24.420055263036446, val_loss: 27.20103379242014 
Iter 171, train_loss: 23.505286625057014, val_loss: 26.177714044309095 
Iter 172, train_loss: 22.624945807864954, val_loss: 25.19304582020709 
Iter 173, train_loss: 21.777732563475297, val_loss: 24.245564527955484 
Iter 174, train_loss: 20.962395946574887, val_loss: 23.33386127735235 
Iter 175, train_loss: 20.177732436622698, val_loss: 22.456580752771497 
Iter 176, train_loss: 19.42258413184302, val_loss: 21.612419167415137 
Iter 177, train_loss: 18.695837012341673, val_loss: 20.80012229605014 
Iter 178, train_loss: 17.996419269686502, val_loss: 20.01848358320205 
Iter 179, train_loss: 17.323299700392678, val_loss: 19.266342323897145 
Iter 180, train_loss: 16.675486160855577, val_loss: 18.542581914155413 
Iter 181, train_loss: 16.052024081366618, val_loss: 17.846128168547093 
Iter 182, train_loss: 15.451995036941595, val_loss: 17.175947702228843 
Iter 183, train_loss: 14.874515372775907, val_loss: 16.531046374975094 
Iter 184, train_loss: 14.318734882228572, val_loss: 15.910467794817787 
Iter 185, train_loss: 13.783835535315406, val_loss: 15.313291878998518 
Iter 186, train_loss: 13.26903025577165, val_loss: 14.738633470027478 
Iter 187, train_loss: 12.773561744818778, val_loss: 14.185641004728245 
Iter 188, train_loss: 12.296701349842147, val_loss: 13.65349523422955 
Iter 189, train_loss: 11.83774797625489, val_loss: 13.141407992943954 
Iter 190, train_loss: 11.39602704089174, val_loss: 12.648621014649303 
Iter 191, train_loss: 10.970889465338066, val_loss: 12.174404793862783 
Iter 192, train_loss: 10.561710707663506, val_loss: 11.718057490764837 
Iter 193, train_loss: 10.167889831086296, val_loss: 11.278903878000003 
Iter 194, train_loss: 9.788848608152437, val_loss: 10.856294327745038 
Iter 195, train_loss: 9.424030659069537, val_loss: 10.449603837498374 
Iter 196, train_loss: 9.072900622884305, val_loss: 10.058231093101453 
Iter 197, train_loss: 8.734943360246994, val_loss: 9.681597567564488 
